bin_start,bin_end,count
52.00,209.66,52
209.66,367.32,251
367.32,524.98,311
524.98,682.64,20
682.64,840.30,13
840.30,997.96,12
997.96,1155.62,7
1155.62,1313.28,40
1313.28,1470.94,106
1470.94,1628.60,162
1628.60,1786.26,4
1786.26,1943.92,4
1943.92,2101.58,0
2101.58,2259.24,1
2259.24,2416.90,1
2416.90,2574.56,3
2574.56,2732.22,0
2732.22,2889.88,1
2889.88,3047.54,3
3047.54,3205.20,1
3205.20,3362.86,0
3362.86,3520.52,0
3520.52,3678.18,3
3678.18,3835.84,1
3835.84,3993.50,0
3993.50,4151.16,0
4151.16,4308.82,0
4308.82,4466.48,1
4466.48,4624.14,1
4624.14,4781.80,0
4781.80,4939.46,0
4939.46,5097.12,0
5097.12,5254.78,0
5254.78,5412.44,0
5412.44,5570.10,0
5570.10,5727.76,0
5727.76,5885.42,0
5885.42,6043.08,0
6043.08,6200.74,0
6200.74,6358.40,0
6358.40,6516.06,1
6516.06,6673.72,0
6673.72,6831.38,0
6831.38,6989.04,0
6989.04,7146.70,0
7146.70,7304.36,0
7304.36,7462.02,0
7462.02,7619.68,0
7619.68,7777.34,0
7777.34,7935.00,1
